pickled dictionaries found in directory, loading them into memory ...
127200 test reviews.

File Classifications:
actors-1-11017.txt: neutral
actors-1-11018.txt: negative
actors-1-11019.txt: neutral
actors-1-11023.txt: positive
actors-1-11024.txt: positive
actors-1-11027.txt: positive
actors-1-11030.txt: positive
actors-1-11048.txt: negative
actors-1-11050.txt: neutral
actors-1-11060.txt: positive
actors-1-11073.txt: negative
actors-1-11084.txt: neutral
actors-1-11088.txt: positive
actors-1-11091.txt: positive
actors-1-11095.txt: negative
actors-1-11097.txt: negative
actors-1-11107.txt: neutral
actors-1-11117.txt: negative
actors-1-11134.txt: negative
actors-1-11135.txt: negative
actors-1-11153.txt: negative
actors-1-11155.txt: negative
actors-1-11156.txt: negative
actors-1-11161.txt: negative
actors-1-11162.txt: positive
actors-1-11183.txt: negative
actors-1-11189.txt: negative
actors-1-11190.txt: neutral
actors-1-11194.txt: negative
actors-1-11196.txt: negative
actors-1-1120.txt: positive
actors-1-11200.txt: negative
actors-1-1121.txt: negative
actors-1-11215.txt: positive
actors-1-11219.txt: neutral
actors-1-11232.txt: negative
actors-1-11251.txt: negative
actors-1-11254.txt: negative
actors-1-11255.txt: negative
actors-1-11298.txt: neutral
actors-1-11304.txt: negative
actors-1-11323.txt: negative
actors-1-11324.txt: negative
actors-1-11328.txt: neutral
actors-1-11361.txt: positive
actors-1-11363.txt: negative
actors-1-11364.txt: negative
actors-1-11365.txt: negative
actors-1-11368.txt: negative
actors-1-11375.txt: negative
actors-1-11380.txt: positive
actors-1-11388.txt: negative
actors-1-1139.txt: neutral
actors-1-11432.txt: positive
actors-1-1144.txt: positive
actors-1-11457.txt: positive
actors-1-1146.txt: neutral
actors-1-11466.txt: positive
actors-1-11467.txt: negative
actors-1-1147.txt: neutral
actors-1-11470.txt: positive
actors-1-11471.txt: positive
actors-1-11473.txt: negative
actors-1-11479.txt: negative
actors-1-1148.txt: positive
actors-1-11481.txt: positive
actors-1-11482.txt: positive
actors-1-11485.txt: neutral
actors-1-11486.txt: neutral
actors-1-11487.txt: negative
actors-1-11488.txt: negative
actors-1-11489.txt: positive
actors-1-11494.txt: positive
actors-1-11496.txt: negative
actors-1-11499.txt: negative
actors-1-11507.txt: negative
actors-1-11508.txt: negative
actors-1-11509.txt: positive
actors-1-11512.txt: negative
actors-1-11514.txt: negative
actors-1-11515.txt: negative
actors-1-11516.txt: negative
actors-1-11529.txt: positive
actors-1-11531.txt: positive
actors-1-11536.txt: negative
actors-1-11537.txt: neutral
actors-1-11541.txt: positive
actors-1-11543.txt: negative
actors-1-11544.txt: positive
actors-1-11552.txt: positive
actors-1-11579.txt: negative
actors-1-1158.txt: neutral
actors-1-11581.txt: negative
actors-1-11583.txt: positive
actors-1-11584.txt: negative
actors-1-11586.txt: negative
actors-1-11587.txt: negative
actors-1-11597.txt: negative
actors-1-11602.txt: positive
actors-1-11607.txt: negative
actors-1-11614.txt: positive
actors-1-11641.txt: negative
actors-1-11672.txt: negative
actors-1-11674.txt: negative
actors-1-11679.txt: positive
actors-1-1168.txt: positive
actors-1-11680.txt: neutral
actors-1-11685.txt: positive
actors-1-11708.txt: positive
actors-1-11714.txt: positive
actors-1-11718.txt: negative
actors-1-11720.txt: neutral
actors-1-11744.txt: positive
actors-1-11751.txt: positive
actors-1-11755.txt: negative
actors-1-11758.txt: negative
actors-1-11759.txt: positive
actors-1-11762.txt: positive
actors-1-11763.txt: neutral
actors-1-11765.txt: negative
actors-1-11768.txt: negative
actors-1-11769.txt: positive
actors-1-11771.txt: positive
actors-1-11774.txt: neutral
actors-1-11792.txt: negative
actors-1-11794.txt: neutral
actors-1-11796.txt: positive
actors-1-11797.txt: negative
actors-1-11812.txt: positive
actors-1-11818.txt: positive
actors-1-11835.txt: positive
actors-1-11851.txt: positive
actors-1-11854.txt: negative
actors-1-11861.txt: positive
actors-1-11869.txt: negative
actors-1-11883.txt: negative
actors-1-11894.txt: negative
actors-1-11904.txt: positive
actors-1-1191.txt: neutral
actors-1-11928.txt: negative
actors-1-1193.txt: positive
actors-1-11940.txt: negative
actors-1-11942.txt: positive
actors-1-1195.txt: neutral
actors-1-11959.txt: positive
actors-1-11967.txt: neutral
actors-1-11969.txt: neutral
actors-1-11972.txt: neutral
actors-1-1198.txt: positive
actors-1-11993.txt: positive
actors-1-11995.txt: positive
actors-1-12015.txt: negative
actors-1-12017.txt: neutral
actors-1-12026.txt: positive
actors-1-12033.txt: positive
actors-1-12038.txt: positive
actors-1-12046.txt: negative
actors-1-12065.txt: negative
actors-1-12070.txt: negative
actors-1-12074.txt: negative
actors-1-12097.txt: positive
actors-1-12129.txt: positive
actors-1-12132.txt: positive
actors-1-12144.txt: neutral
actors-1-12147.txt: positive
actors-1-12153.txt: positive
actors-1-12163.txt: positive
actors-1-12176.txt: negative
actors-1-12192.txt: positive
actors-1-12208.txt: positive
actors-1-12224.txt: positive
actors-1-12228.txt: negative
actors-1-12233.txt: positive
actors-1-12236.txt: neutral
actors-1-12239.txt: neutral
actors-1-12241.txt: neutral
actors-1-12242.txt: negative
actors-1-12245.txt: negative
actors-1-12249.txt: neutral
actors-1-12251.txt: negative
actors-1-12258.txt: negative
actors-1-12267.txt: positive
actors-1-12268.txt: negative
actors-1-12273.txt: negative
actors-1-12275.txt: positive
actors-1-12278.txt: positive
actors-1-12281.txt: negative
actors-1-12282.txt: negative
actors-1-12283.txt: negative
actors-1-12284.txt: negative
actors-1-12285.txt: neutral
actors-1-12289.txt: negative
actors-1-12293.txt: negative
actors-1-12294.txt: negative
actors-1-12306.txt: negative
actors-1-12311.txt: positive
actors-1-12312.txt: negative
actors-1-12315.txt: negative
actors-1-12320.txt: negative
actors-1-12321.txt: negative
actors-1-12325.txt: positive
actors-1-12330.txt: positive
actors-1-12344.txt: negative
actors-1-12354.txt: positive
actors-1-12365.txt: negative
actors-1-12369.txt: negative
actors-1-12370.txt: positive
actors-1-12384.txt: neutral
actors-1-12388.txt: positive
actors-1-12412.txt: neutral
actors-1-12431.txt: positive
actors-1-12432.txt: negative
actors-1-12434.txt: negative
actors-1-12447.txt: positive
actors-1-12457.txt: negative
actors-1-12465.txt: positive
actors-1-12467.txt: positive
actors-1-12468.txt: negative
actors-1-12483.txt: negative
actors-1-12485.txt: negative
actors-1-1251.txt: negative
actors-1-12514.txt: negative
actors-1-1252.txt: negative
actors-1-12525.txt: positive
actors-1-12529.txt: negative
actors-1-12533.txt: negative
actors-1-12536.txt: negative
actors-1-12538.txt: positive
actors-1-12544.txt: negative
actors-1-12550.txt: negative
actors-1-12556.txt: negative
actors-1-12570.txt: positive
actors-1-12573.txt: negative
actors-1-12586.txt: positive
actors-1-12591.txt: neutral
actors-1-12606.txt: negative
actors-1-12608.txt: positive
actors-1-12612.txt: negative
actors-1-12618.txt: positive
actors-1-12624.txt: positive
actors-1-12642.txt: negative
actors-1-12649.txt: negative
actors-1-12654.txt: negative
actors-1-12669.txt: positive
actors-1-12672.txt: negative
actors-1-12677.txt: negative
actors-1-12692.txt: positive
actors-1-12695.txt: negative
actors-1-12706.txt: positive
actors-1-12707.txt: negative
actors-1-12712.txt: positive
actors-1-12717.txt: negative
actors-1-12719.txt: positive
actors-1-12720.txt: negative
actors-1-12724.txt: negative
actors-1-12726.txt: negative
actors-1-12728.txt: negative
actors-1-12730.txt: positive
actors-1-12733.txt: negative
actors-1-12734.txt: positive
actors-1-12737.txt: negative
actors-1-12738.txt: negative
actors-1-12739.txt: negative
actors-1-12743.txt: negative
actors-1-12745.txt: negative
actors-1-12747.txt: neutral
actors-1-12748.txt: negative
actors-1-12749.txt: neutral
actors-1-12750.txt: negative
actors-1-12754.txt: negative
actors-1-12755.txt: negative
actors-1-12756.txt: positive
actors-1-12757.txt: negative
actors-1-12759.txt: negative
actors-1-12762.txt: negative
actors-1-12764.txt: positive
actors-1-12765.txt: neutral
actors-1-12767.txt: negative
actors-1-12773.txt: positive
actors-1-12776.txt: negative
actors-1-12777.txt: negative
actors-1-12780.txt: negative
actors-1-12781.txt: positive
actors-1-12782.txt: negative
actors-1-12784.txt: negative
actors-1-12785.txt: negative
actors-1-12816.txt: positive
actors-1-12817.txt: neutral
actors-1-12821.txt: positive
actors-1-12822.txt: negative
actors-1-12824.txt: negative
actors-1-12839.txt: positive
actors-1-12840.txt: positive
actors-1-12845.txt: positive
actors-1-12847.txt: positive
actors-1-12853.txt: neutral
actors-1-12863.txt: positive
actors-1-12869.txt: neutral
actors-1-12879.txt: neutral
actors-1-12889.txt: positive
actors-1-12903.txt: negative
actors-1-12910.txt: negative
actors-1-12917.txt: negative
actors-1-12922.txt: negative
actors-1-12928.txt: positive
actors-1-1293.txt: positive
actors-1-12938.txt: positive
actors-1-12944.txt: negative
actors-1-12947.txt: negative
actors-1-12951.txt: positive
actors-1-12963.txt: neutral
actors-1-12975.txt: negative
actors-1-12978.txt: positive
actors-1-12985.txt: neutral
actors-1-12988.txt: positive
actors-1-12992.txt: negative
actors-1-12993.txt: negative
actors-1-12994.txt: negative
actors-1-12995.txt: negative
actors-1-12996.txt: negative
actors-1-13000.txt: positive
actors-1-13001.txt: negative
actors-1-13002.txt: positive
actors-1-13003.txt: positive
actors-1-13006.txt: negative
actors-1-13008.txt: negative
actors-1-13014.txt: negative
actors-1-13015.txt: positive
actors-1-13017.txt: negative
actors-1-13018.txt: neutral
actors-1-13024.txt: positive
actors-1-13025.txt: negative
actors-1-13030.txt: positive
actors-1-13031.txt: positive
actors-1-13032.txt: negative
actors-1-13037.txt: negative
actors-1-13044.txt: negative
actors-1-13064.txt: negative
actors-1-13076.txt: neutral
actors-1-13077.txt: negative
actors-1-13094.txt: positive
actors-1-13096.txt: negative
actors-1-13098.txt: positive
actors-1-13099.txt: negative
actors-1-13100.txt: neutral
actors-1-13101.txt: negative
actors-1-13102.txt: positive
actors-1-13103.txt: negative
actors-1-13104.txt: negative
actors-1-13108.txt: positive
actors-1-13111.txt: neutral
actors-1-13113.txt: positive
actors-1-13115.txt: negative
actors-1-13117.txt: positive
actors-1-13119.txt: negative
actors-1-13121.txt: negative
actors-1-13123.txt: negative
actors-1-13124.txt: negative
actors-1-13127.txt: positive
actors-1-13128.txt: neutral
actors-1-13129.txt: positive
actors-1-13130.txt: positive
actors-1-13131.txt: positive
actors-1-13134.txt: neutral
actors-1-13136.txt: negative
actors-1-13137.txt: neutral
actors-1-13138.txt: negative
actors-1-13140.txt: negative
actors-1-13142.txt: positive
actors-1-13144.txt: positive
actors-1-13145.txt: negative
actors-1-13146.txt: negative
actors-1-13147.txt: negative
actors-1-13148.txt: negative
actors-1-13149.txt: negative
actors-1-13150.txt: negative
actors-1-13151.txt: negative
actors-1-13152.txt: negative
actors-1-13155.txt: negative
actors-1-13156.txt: negative
actors-1-13157.txt: positive
actors-1-13159.txt: positive
actors-1-13162.txt: negative
actors-1-13163.txt: positive
actors-1-13164.txt: negative
actors-1-13168.txt: positive
actors-1-13170.txt: negative
actors-1-13174.txt: neutral
actors-1-13181.txt: negative
actors-1-13185.txt: positive
actors-1-13186.txt: positive
actors-1-13188.txt: positive
actors-1-13189.txt: negative
actors-1-1319.txt: negative
actors-1-13190.txt: positive
actors-1-13194.txt: negative
actors-1-13195.txt: neutral
actors-1-13223.txt: positive
actors-1-13227.txt: positive
actors-1-13236.txt: positive
actors-1-13239.txt: negative
actors-1-13240.txt: negative
actors-1-13241.txt: neutral
actors-1-13242.txt: positive
actors-1-13243.txt: negative
actors-1-13244.txt: negative
actors-1-13245.txt: neutral
actors-1-13247.txt: negative
actors-1-13248.txt: negative
actors-1-13249.txt: negative
actors-1-13253.txt: negative
actors-1-13268.txt: negative
actors-1-13286.txt: positive
actors-1-1330.txt: positive
actors-1-13312.txt: negative
actors-1-13338.txt: positive
actors-1-13363.txt: negative
actors-1-13365.txt: negative
actors-1-13367.txt: negative
actors-1-13369.txt: negative
actors-1-13371.txt: positive
actors-1-13374.txt: negative
actors-1-13379.txt: negative
actors-1-13383.txt: positive
actors-1-13388.txt: negative
actors-1-13389.txt: positive
actors-1-13397.txt: positive
actors-1-13398.txt: positive
actors-1-13399.txt: positive
actors-1-13401.txt: negative
actors-1-13404.txt: negative
actors-1-1341.txt: positive
actors-1-13416.txt: negative
actors-1-1342.txt: neutral
actors-1-13428.txt: positive
actors-1-13430.txt: positive
actors-1-13437.txt: negative
actors-1-13443.txt: positive
actors-1-13448.txt: positive
actors-1-13451.txt: positive
actors-1-13454.txt: positive
actors-1-13462.txt: positive
actors-1-13463.txt: neutral
actors-1-13465.txt: neutral
actors-1-13466.txt: negative
actors-1-1347.txt: negative
actors-1-1348.txt: positive
actors-1-13482.txt: neutral
actors-1-13486.txt: negative
actors-1-13506.txt: negative
actors-1-13514.txt: negative
actors-1-13515.txt: negative
actors-1-13523.txt: negative
actors-1-13528.txt: negative
actors-1-13536.txt: negative
actors-1-13537.txt: positive
actors-1-13539.txt: positive
actors-1-13540.txt: negative
actors-1-13544.txt: positive
actors-1-13547.txt: negative
actors-1-13549.txt: negative
actors-1-13562.txt: negative
actors-1-13563.txt: negative
actors-1-13566.txt: positive
actors-1-13569.txt: negative
actors-1-13572.txt: positive
actors-1-13574.txt: neutral
actors-1-13577.txt: neutral
actors-1-13584.txt: positive
actors-1-13591.txt: negative
actors-1-13595.txt: neutral
actors-1-13596.txt: negative
actors-1-13606.txt: negative
actors-1-13645.txt: negative
actors-1-13657.txt: neutral
actors-1-13663.txt: positive
actors-1-13666.txt: negative
actors-1-13667.txt: positive
actors-1-13670.txt: negative
actors-1-13671.txt: positive
actors-1-13676.txt: negative
actors-1-13678.txt: positive
actors-1-13680.txt: positive
actors-1-13683.txt: negative
actors-1-13684.txt: negative
actors-1-13688.txt: neutral
actors-1-1369.txt: negative
actors-1-13710.txt: positive
actors-1-13722.txt: negative
actors-1-13726.txt: neutral
actors-1-13731.txt: negative
actors-1-13738.txt: negative
actors-1-13746.txt: negative
actors-1-13755.txt: positive
actors-1-13758.txt: neutral
actors-1-13762.txt: negative
actors-1-13770.txt: neutral
actors-1-13773.txt: negative
actors-1-13778.txt: negative
actors-1-13779.txt: negative
actors-1-13781.txt: positive
actors-1-13787.txt: negative
actors-1-13788.txt: positive
actors-1-13789.txt: positive
actors-1-13790.txt: positive
actors-1-13791.txt: positive
actors-1-13792.txt: positive
actors-1-13795.txt: positive
actors-1-13797.txt: positive
actors-1-13803.txt: neutral
actors-1-13806.txt: negative
actors-1-13807.txt: negative
actors-1-13808.txt: positive
actors-1-13809.txt: positive
actors-1-13814.txt: positive
actors-1-13815.txt: neutral
actors-1-13817.txt: negative
actors-1-13820.txt: negative
actors-1-13821.txt: neutral
actors-1-13823.txt: positive
actors-1-13824.txt: negative
actors-1-13825.txt: negative
actors-1-13826.txt: negative
actors-1-13827.txt: negative
actors-1-13833.txt: negative
actors-1-13834.txt: positive
actors-1-13835.txt: negative
actors-1-13836.txt: positive
actors-1-13837.txt: negative
actors-1-13842.txt: negative
actors-1-13844.txt: negative
actors-1-13845.txt: neutral
actors-1-13847.txt: negative
actors-1-13849.txt: neutral
actors-1-13854.txt: positive
actors-1-13856.txt: positive
actors-1-13857.txt: negative
actors-1-13858.txt: negative
actors-1-13859.txt: positive
actors-1-1386.txt: positive
actors-1-13860.txt: negative
actors-1-13861.txt: negative
actors-1-13863.txt: negative
actors-1-13865.txt: positive
actors-1-13867.txt: negative
actors-1-13868.txt: negative
actors-1-13869.txt: positive
actors-1-13872.txt: negative
actors-1-13874.txt: neutral
actors-1-13876.txt: negative
actors-1-13877.txt: negative
actors-1-13878.txt: negative
actors-1-13879.txt: positive
actors-1-13887.txt: negative
actors-1-13889.txt: negative
actors-1-1389.txt: negative
actors-1-13892.txt: positive
actors-1-13893.txt: positive
actors-1-13895.txt: neutral
actors-1-13896.txt: negative
actors-1-13897.txt: negative
actors-1-13899.txt: negative
actors-1-13900.txt: negative
actors-1-13901.txt: positive
actors-1-13903.txt: positive
actors-1-13906.txt: negative
actors-1-13909.txt: negative
actors-1-13910.txt: positive
actors-1-13912.txt: neutral
actors-1-13913.txt: negative
actors-1-13917.txt: positive
actors-1-13922.txt: negative
actors-1-13927.txt: neutral
actors-1-13935.txt: positive
actors-1-13939.txt: negative
actors-1-13944.txt: negative
actors-1-13950.txt: positive
actors-1-13951.txt: positive
actors-1-13952.txt: positive
actors-1-13956.txt: positive
actors-1-13959.txt: negative
actors-1-13962.txt: positive
actors-1-13965.txt: positive
actors-1-13968.txt: neutral
actors-1-13978.txt: positive
actors-1-13980.txt: negative
actors-1-13997.txt: negative
actors-1-13998.txt: positive
actors-1-14004.txt: positive
actors-1-14015.txt: negative
actors-1-14023.txt: negative
actors-1-14028.txt: positive
actors-1-14031.txt: neutral
actors-1-14035.txt: neutral
actors-1-14038.txt: negative
actors-1-14044.txt: positive
actors-1-14045.txt: positive
actors-1-14052.txt: negative
actors-1-14075.txt: negative
actors-1-14083.txt: negative
actors-1-14084.txt: positive
actors-1-14094.txt: negative
actors-1-14097.txt: negative
actors-1-14098.txt: positive
actors-1-141.txt: positive
actors-1-14103.txt: positive
actors-1-14105.txt: negative
actors-1-14112.txt: positive
actors-1-14115.txt: positive
actors-1-14119.txt: neutral
actors-1-14121.txt: positive
actors-1-14122.txt: negative
actors-1-14137.txt: positive
actors-1-14144.txt: positive
actors-1-14147.txt: positive
actors-1-14150.txt: positive
actors-1-14151.txt: negative
actors-1-14154.txt: negative
actors-1-14155.txt: positive
actors-1-14156.txt: negative
actors-1-14158.txt: positive
actors-1-14160.txt: positive
actors-1-14162.txt: negative
actors-1-14164.txt: neutral
actors-1-14166.txt: negative
actors-1-14168.txt: negative
actors-1-14169.txt: negative
actors-1-14173.txt: negative
actors-1-14174.txt: positive
actors-1-14176.txt: neutral
actors-1-14182.txt: positive
actors-1-14184.txt: negative
actors-1-14188.txt: neutral
actors-1-14195.txt: positive
actors-1-1420.txt: negative
actors-1-14200.txt: negative
actors-1-14202.txt: negative
actors-1-14204.txt: negative
actors-1-1421.txt: positive
actors-1-14215.txt: neutral
actors-1-14216.txt: negative
actors-1-14219.txt: neutral
actors-1-14223.txt: negative
actors-1-14248.txt: positive
actors-1-14256.txt: negative
actors-1-14257.txt: negative
actors-1-14259.txt: positive
actors-1-14260.txt: neutral
actors-1-14261.txt: positive
actors-1-14262.txt: positive
actors-1-14264.txt: neutral
actors-1-14265.txt: negative
actors-1-14266.txt: negative
actors-1-14270.txt: negative
actors-1-14271.txt: neutral
actors-1-14272.txt: negative
actors-1-14273.txt: negative
actors-1-14285.txt: positive
actors-1-14289.txt: negative
actors-1-14291.txt: negative
actors-1-14307.txt: positive
actors-1-1432.txt: negative
actors-1-14321.txt: positive
actors-1-14323.txt: negative
actors-1-14324.txt: negative
actors-1-14327.txt: positive
actors-1-14329.txt: neutral
actors-1-14339.txt: negative
actors-1-14340.txt: neutral
actors-1-14341.txt: positive
actors-1-14342.txt: negative
actors-1-14345.txt: negative
actors-1-14349.txt: negative
actors-1-14350.txt: positive
actors-1-14351.txt: negative
actors-1-14352.txt: positive
actors-1-14354.txt: negative
actors-1-14355.txt: negative
actors-1-14356.txt: negative
actors-1-14359.txt: neutral
actors-1-14361.txt: positive
actors-1-14362.txt: neutral
actors-1-14363.txt: positive
actors-1-14364.txt: negative
actors-1-14366.txt: positive
actors-1-14367.txt: negative
actors-1-14368.txt: negative
actors-1-14369.txt: neutral
actors-1-14371.txt: positive
actors-1-14372.txt: negative
actors-1-14373.txt: neutral
actors-1-14374.txt: negative
actors-1-14375.txt: negative
actors-1-14389.txt: neutral
actors-1-1441.txt: positive
actors-1-14413.txt: neutral
actors-1-14415.txt: neutral
actors-1-14417.txt: negative
actors-1-14420.txt: negative
actors-1-14423.txt: negative
actors-1-14427.txt: negative
actors-1-14432.txt: positive
actors-1-14435.txt: positive
actors-1-14442.txt: positive
actors-1-14446.txt: negative
actors-1-14448.txt: positive
actors-1-1445.txt: positive
actors-1-14461.txt: negative
actors-1-14463.txt: neutral
actors-1-14464.txt: neutral
actors-1-14467.txt: negative
actors-1-14469.txt: negative
actors-1-1449.txt: positive
actors-1-14495.txt: negative
actors-1-14508.txt: positive
actors-1-14513.txt: positive
actors-1-14515.txt: positive
actors-1-14517.txt: positive
actors-1-14521.txt: negative
actors-1-14524.txt: negative
actors-1-14532.txt: negative
actors-1-14533.txt: positive
actors-1-14534.txt: negative
actors-1-14536.txt: negative
actors-1-14546.txt: neutral
actors-1-14548.txt: positive
actors-1-14549.txt: negative
actors-1-14550.txt: negative
actors-1-14561.txt: positive
actors-1-14582.txt: neutral
actors-1-14604.txt: positive
actors-1-14608.txt: positive
actors-1-14613.txt: positive
actors-1-14614.txt: negative
actors-1-14617.txt: neutral
actors-1-14619.txt: negative
actors-1-14621.txt: negative
actors-1-14623.txt: negative
actors-1-14626.txt: negative
actors-1-14628.txt: positive
actors-1-14629.txt: positive
actors-1-14632.txt: positive
actors-1-14635.txt: positive
actors-1-14637.txt: neutral
actors-1-14642.txt: negative
actors-1-14643.txt: negative
actors-1-14644.txt: negative
actors-1-14650.txt: negative
actors-1-14656.txt: negative
actors-1-14661.txt: positive
actors-1-14663.txt: positive
actors-1-14664.txt: negative
actors-1-14666.txt: negative
actors-1-14668.txt: negative
actors-1-14671.txt: negative
actors-1-14673.txt: negative
actors-1-14674.txt: positive
actors-1-14676.txt: neutral
actors-1-14677.txt: negative
actors-1-14679.txt: negative
actors-1-14682.txt: negative
actors-1-14683.txt: negative
actors-1-14684.txt: neutral
actors-1-14686.txt: positive
actors-1-14687.txt: negative
actors-1-14688.txt: negative
actors-1-14689.txt: positive
actors-1-14691.txt: negative
actors-1-14694.txt: negative
actors-1-14698.txt: positive
actors-1-14699.txt: negative
actors-1-1470.txt: positive
actors-1-14702.txt: negative
actors-1-14704.txt: negative
actors-1-14705.txt: negative
actors-1-14706.txt: positive
actors-1-14707.txt: positive
actors-1-14709.txt: negative
actors-1-1471.txt: positive
actors-1-14710.txt: neutral
actors-1-14711.txt: positive
actors-1-14713.txt: neutral
actors-1-14716.txt: negative
actors-1-14717.txt: negative
actors-1-14718.txt: negative
actors-1-14719.txt: positive
actors-1-14722.txt: positive
actors-1-14723.txt: negative
actors-1-14724.txt: negative
actors-1-14725.txt: positive
actors-1-14731.txt: positive
actors-1-14732.txt: negative
actors-1-14735.txt: negative
actors-1-14739.txt: neutral
actors-1-14742.txt: negative
actors-1-14745.txt: positive
actors-1-14747.txt: neutral
actors-1-14748.txt: negative
actors-1-14751.txt: neutral
actors-1-14752.txt: negative
actors-1-14754.txt: positive
actors-1-14755.txt: negative
actors-1-14756.txt: negative
actors-1-14759.txt: negative
actors-1-14762.txt: negative
actors-1-14764.txt: negative
actors-1-14768.txt: negative
actors-1-14770.txt: negative
actors-1-14771.txt: positive
actors-1-14773.txt: neutral
actors-1-14774.txt: negative
actors-1-14776.txt: positive
actors-1-14779.txt: negative
actors-1-14782.txt: negative
actors-1-14783.txt: positive
actors-1-14784.txt: positive
actors-1-14785.txt: negative
actors-1-14786.txt: negative
actors-1-14787.txt: negative
actors-1-14788.txt: negative
actors-1-14789.txt: positive
actors-1-14790.txt: negative
actors-1-14798.txt: negative
actors-1-14802.txt: neutral
actors-1-14807.txt: positive
actors-1-14808.txt: positive
actors-1-1481.txt: positive
actors-1-14814.txt: neutral
actors-1-14815.txt: negative
actors-1-14818.txt: negative
actors-1-14821.txt: positive
actors-1-14824.txt: negative
actors-1-14832.txt: negative
actors-1-14833.txt: positive
actors-1-14835.txt: positive
actors-1-14836.txt: negative
actors-1-14839.txt: positive
actors-1-14840.txt: positive
actors-1-14841.txt: negative
actors-1-14843.txt: positive
actors-1-14845.txt: negative
actors-1-14848.txt: positive
actors-1-14850.txt: negative
actors-1-14851.txt: negative
actors-1-14852.txt: positive
actors-1-14853.txt: negative
actors-1-14854.txt: negative
actors-1-14856.txt: neutral
actors-1-14858.txt: neutral
actors-1-14860.txt: negative
