pickled dictionaries found in directory, loading them into memory ...
20744 test reviews.

File Classifications:
movies-1-10580.txt: negative
movies-1-10581.txt: negative
movies-1-10582.txt: positive
movies-1-10584.txt: negative
movies-1-10606.txt: negative
movies-1-10607.txt: negative
movies-1-10609.txt: negative
movies-1-10614.txt: positive
movies-1-10621.txt: negative
movies-1-10623.txt: negative
movies-1-10647.txt: negative
movies-1-1067.txt: negative
movies-1-10677.txt: negative
movies-1-10680.txt: negative
movies-1-10686.txt: positive
movies-1-10687.txt: negative
movies-1-10688.txt: negative
movies-1-1069.txt: negative
movies-1-10693.txt: negative
movies-1-10703.txt: negative
movies-1-10709.txt: negative
movies-1-10711.txt: negative
movies-1-10714.txt: neutral
movies-1-10715.txt: negative
movies-1-10722.txt: neutral
movies-1-10729.txt: negative
movies-1-10733.txt: negative
movies-1-10745.txt: negative
movies-1-10751.txt: negative
movies-1-1076.txt: negative
movies-1-10760.txt: negative
movies-1-10766.txt: positive
movies-1-1077.txt: negative
movies-1-10772.txt: positive
movies-1-1078.txt: positive
movies-1-10789.txt: negative
movies-1-10791.txt: negative
movies-1-10792.txt: negative
movies-1-10798.txt: negative
movies-1-10799.txt: negative
movies-1-10801.txt: positive
movies-1-10803.txt: negative
movies-1-10812.txt: positive
movies-1-10821.txt: negative
movies-1-10824.txt: neutral
movies-1-10829.txt: neutral
movies-1-10834.txt: negative
movies-1-10841.txt: negative
movies-1-10847.txt: negative
movies-1-10848.txt: neutral
movies-1-10853.txt: negative
movies-1-10856.txt: negative
movies-1-10868.txt: negative
movies-1-10869.txt: negative
movies-1-1087.txt: negative
movies-1-10876.txt: negative
movies-1-10880.txt: negative
movies-1-10883.txt: negative
movies-1-10886.txt: negative
movies-1-10887.txt: negative
movies-1-10900.txt: positive
movies-1-10901.txt: neutral
movies-1-10904.txt: positive
movies-1-10909.txt: positive
movies-1-10914.txt: negative
movies-1-10919.txt: positive
movies-1-1092.txt: negative
movies-1-10932.txt: negative
movies-1-10943.txt: negative
movies-1-10952.txt: negative
movies-1-10971.txt: negative
movies-1-10977.txt: negative
movies-1-10981.txt: negative
movies-1-10982.txt: negative
movies-1-10987.txt: negative
movies-1-11021.txt: neutral
movies-1-11034.txt: negative
movies-1-11046.txt: positive
movies-1-11055.txt: negative
movies-1-11068.txt: negative
movies-1-11069.txt: negative
movies-1-1107.txt: negative
movies-1-11070.txt: negative
movies-1-11076.txt: negative
movies-1-11077.txt: negative
movies-1-11079.txt: negative
movies-1-11084.txt: negative
movies-1-11085.txt: negative
movies-1-11092.txt: negative
movies-1-11095.txt: negative
movies-1-11099.txt: negative
movies-1-11140.txt: neutral
movies-1-11149.txt: negative
movies-1-11150.txt: negative
movies-1-11154.txt: negative
movies-1-11156.txt: negative
movies-1-11162.txt: negative
movies-1-11164.txt: positive
movies-1-11165.txt: neutral
movies-1-11169.txt: negative
movies-1-11171.txt: negative
movies-1-11184.txt: negative
movies-1-11185.txt: negative
movies-1-11216.txt: negative
movies-1-11220.txt: negative
movies-1-11223.txt: negative
movies-1-11230.txt: neutral
movies-1-11231.txt: negative
movies-1-11233.txt: negative
movies-1-11247.txt: negative
movies-1-11251.txt: negative
movies-1-11270.txt: negative
movies-1-11271.txt: negative
movies-1-11272.txt: negative
movies-1-11274.txt: neutral
movies-1-11275.txt: negative
movies-1-11280.txt: negative
movies-1-11284.txt: negative
movies-1-11296.txt: neutral
movies-1-11305.txt: positive
movies-1-11311.txt: negative
movies-1-11318.txt: negative
movies-1-11335.txt: positive
movies-1-11341.txt: negative
movies-1-11342.txt: negative
movies-1-11347.txt: negative
movies-1-11349.txt: negative
movies-1-11357.txt: negative
movies-1-11360.txt: positive
movies-1-11365.txt: negative
movies-1-11374.txt: positive
movies-1-11391.txt: negative
movies-1-11396.txt: positive
movies-1-11400.txt: positive
movies-1-11409.txt: negative
movies-1-11410.txt: negative
movies-1-11411.txt: negative
movies-1-11424.txt: negative
movies-1-11428.txt: negative
movies-1-11432.txt: negative
movies-1-11434.txt: negative
movies-1-11436.txt: neutral
movies-1-11437.txt: negative
movies-1-11439.txt: negative
movies-1-11441.txt: negative
movies-1-11445.txt: neutral
movies-1-11449.txt: negative
movies-1-1145.txt: negative
movies-1-11450.txt: negative
movies-1-11458.txt: negative
movies-1-11469.txt: negative
movies-1-11470.txt: negative
movies-1-11484.txt: negative
movies-1-11497.txt: negative
movies-1-11499.txt: negative
movies-1-11508.txt: negative
movies-1-11511.txt: negative
movies-1-11515.txt: negative
movies-1-11517.txt: negative
movies-1-1152.txt: negative
movies-1-11535.txt: negative
movies-1-11537.txt: negative
movies-1-11538.txt: negative
movies-1-11542.txt: negative
movies-1-11543.txt: negative
movies-1-11544.txt: negative
movies-1-11547.txt: negative
movies-1-11557.txt: negative
movies-1-11569.txt: negative
movies-1-11576.txt: negative
movies-1-11579.txt: negative
movies-1-11590.txt: negative
movies-1-11613.txt: negative
movies-1-11616.txt: positive
movies-1-11625.txt: negative
movies-1-11627.txt: negative
movies-1-11641.txt: negative
movies-1-11643.txt: negative
movies-1-11652.txt: positive
movies-1-11660.txt: negative
movies-1-11664.txt: negative
movies-1-11669.txt: negative
movies-1-11671.txt: negative
movies-1-11676.txt: negative
movies-1-11683.txt: positive
movies-1-11703.txt: negative
movies-1-11705.txt: negative
movies-1-11716.txt: negative
movies-1-11720.txt: negative
movies-1-11723.txt: negative
movies-1-11726.txt: negative
movies-1-11730.txt: negative
movies-1-11734.txt: negative
movies-1-11740.txt: positive
movies-1-11759.txt: neutral
movies-1-11761.txt: negative
movies-1-11763.txt: negative
movies-1-11771.txt: negative
movies-1-11775.txt: negative
movies-1-11777.txt: negative
movies-1-11781.txt: neutral
movies-1-11783.txt: positive
movies-1-11786.txt: negative
movies-1-11788.txt: negative
movies-1-11791.txt: negative
movies-1-11797.txt: negative
movies-1-11799.txt: negative
movies-1-11802.txt: negative
movies-1-11805.txt: positive
movies-1-11808.txt: negative
movies-1-11810.txt: negative
movies-1-11813.txt: positive
movies-1-11814.txt: negative
movies-1-11817.txt: negative
movies-1-11819.txt: negative
movies-1-11820.txt: positive
movies-1-11823.txt: positive
movies-1-11827.txt: negative
movies-1-11828.txt: negative
movies-1-11831.txt: negative
movies-1-11832.txt: negative
movies-1-11833.txt: negative
movies-1-11836.txt: negative
movies-1-11838.txt: negative
movies-1-11843.txt: negative
movies-1-11852.txt: negative
movies-1-11853.txt: negative
movies-1-11856.txt: negative
movies-1-11860.txt: negative
movies-1-11862.txt: negative
movies-1-11863.txt: negative
movies-1-11868.txt: negative
movies-1-11872.txt: negative
movies-1-11888.txt: negative
movies-1-11892.txt: negative
movies-1-11901.txt: negative
movies-1-11902.txt: negative
movies-1-11913.txt: negative
movies-1-11916.txt: negative
movies-1-11922.txt: neutral
movies-1-11933.txt: positive
movies-1-11938.txt: positive
movies-1-11939.txt: negative
movies-1-11941.txt: negative
movies-1-11945.txt: negative
movies-1-11946.txt: negative
movies-1-11947.txt: negative
movies-1-11960.txt: neutral
movies-1-11967.txt: negative
movies-1-11971.txt: negative
movies-1-11978.txt: negative
movies-1-11980.txt: negative
movies-1-11983.txt: negative
movies-1-11984.txt: negative
movies-1-11989.txt: negative
movies-1-11990.txt: negative
movies-1-11998.txt: negative
movies-1-1200.txt: negative
movies-1-12009.txt: negative
movies-1-1201.txt: positive
movies-1-12014.txt: negative
movies-1-12016.txt: negative
movies-1-12020.txt: positive
movies-1-12022.txt: negative
movies-1-12024.txt: neutral
movies-1-12025.txt: negative
movies-1-12026.txt: negative
movies-1-12027.txt: negative
movies-1-12029.txt: negative
movies-1-1203.txt: negative
movies-1-12032.txt: neutral
movies-1-12033.txt: negative
movies-1-12034.txt: negative
movies-1-12039.txt: negative
movies-1-12042.txt: negative
movies-1-12043.txt: negative
movies-1-12044.txt: neutral
movies-1-12047.txt: negative
movies-1-12049.txt: negative
movies-1-12051.txt: negative
movies-1-12057.txt: negative
movies-1-12064.txt: negative
movies-1-12065.txt: negative
movies-1-12069.txt: negative
movies-1-12072.txt: negative
movies-1-12074.txt: negative
movies-1-12075.txt: negative
movies-1-12079.txt: negative
movies-1-12081.txt: negative
movies-1-12090.txt: positive
movies-1-12097.txt: negative
movies-1-12101.txt: negative
movies-1-12104.txt: negative
movies-1-12114.txt: negative
movies-1-12115.txt: negative
movies-1-12116.txt: negative
movies-1-12118.txt: negative
movies-1-1212.txt: negative
movies-1-12129.txt: negative
movies-1-12131.txt: negative
movies-1-12134.txt: positive
movies-1-12139.txt: negative
movies-1-12141.txt: negative
movies-1-12144.txt: negative
movies-1-12151.txt: positive
movies-1-12154.txt: negative
movies-1-12155.txt: negative
movies-1-12163.txt: negative
movies-1-12166.txt: negative
movies-1-12170.txt: negative
movies-1-12171.txt: negative
movies-1-12174.txt: negative
movies-1-12178.txt: negative
movies-1-12185.txt: positive
movies-1-12186.txt: negative
movies-1-12188.txt: negative
movies-1-12193.txt: negative
movies-1-12197.txt: negative
movies-1-12199.txt: neutral
movies-1-12200.txt: negative
movies-1-12201.txt: negative
movies-1-12203.txt: negative
movies-1-12205.txt: negative
movies-1-12206.txt: positive
movies-1-1221.txt: positive
movies-1-12210.txt: negative
movies-1-12213.txt: negative
movies-1-12214.txt: negative
movies-1-12216.txt: negative
movies-1-12219.txt: negative
movies-1-1222.txt: positive
movies-1-12222.txt: negative
movies-1-12223.txt: negative
movies-1-12224.txt: negative
movies-1-12227.txt: neutral
movies-1-12229.txt: negative
movies-1-12230.txt: negative
movies-1-12234.txt: positive
movies-1-12236.txt: negative
movies-1-12245.txt: positive
movies-1-12248.txt: neutral
movies-1-12251.txt: negative
movies-1-12254.txt: neutral
movies-1-12255.txt: negative
movies-1-12256.txt: negative
movies-1-12257.txt: negative
movies-1-12263.txt: negative
movies-1-12264.txt: negative
movies-1-12265.txt: negative
movies-1-12267.txt: negative
movies-1-12268.txt: negative
movies-1-12269.txt: positive
movies-1-12271.txt: negative
movies-1-12272.txt: negative
movies-1-12274.txt: neutral
movies-1-12279.txt: negative
movies-1-12281.txt: negative
movies-1-12282.txt: negative
movies-1-12284.txt: negative
movies-1-12285.txt: negative
movies-1-12288.txt: negative
movies-1-12290.txt: positive
movies-1-12291.txt: negative
movies-1-12298.txt: negative
movies-1-12303.txt: neutral
movies-1-12305.txt: negative
movies-1-12308.txt: negative
movies-1-12309.txt: negative
movies-1-1231.txt: negative
movies-1-12310.txt: negative
movies-1-1232.txt: negative
movies-1-12437.txt: negative
movies-1-1245.txt: negative
movies-1-12469.txt: positive
movies-1-1247.txt: negative
movies-1-12478.txt: negative
movies-1-12520.txt: negative
movies-1-12526.txt: negative
movies-1-12532.txt: negative
movies-1-12538.txt: negative
movies-1-1254.txt: negative
movies-1-12545.txt: negative
movies-1-12550.txt: negative
movies-1-12554.txt: negative
movies-1-12570.txt: negative
movies-1-12573.txt: negative
movies-1-12580.txt: negative
movies-1-12589.txt: negative
movies-1-12591.txt: negative
movies-1-12596.txt: negative
movies-1-12600.txt: negative
movies-1-12601.txt: negative
movies-1-12612.txt: negative
movies-1-12616.txt: negative
movies-1-12620.txt: neutral
movies-1-12621.txt: negative
movies-1-12622.txt: negative
movies-1-12625.txt: negative
movies-1-12629.txt: negative
movies-1-12641.txt: negative
movies-1-12645.txt: negative
movies-1-12648.txt: positive
movies-1-12656.txt: negative
movies-1-12657.txt: negative
movies-1-12658.txt: negative
movies-1-12660.txt: negative
movies-1-12662.txt: negative
movies-1-12663.txt: negative
movies-1-12666.txt: negative
movies-1-12667.txt: negative
movies-1-12668.txt: negative
movies-1-1267.txt: negative
movies-1-12671.txt: negative
movies-1-12672.txt: negative
movies-1-12676.txt: negative
movies-1-12679.txt: negative
movies-1-1268.txt: negative
movies-1-12680.txt: negative
movies-1-12681.txt: negative
movies-1-12682.txt: negative
movies-1-12683.txt: negative
movies-1-12684.txt: negative
movies-1-12687.txt: negative
movies-1-12688.txt: positive
movies-1-12694.txt: negative
movies-1-12695.txt: negative
movies-1-12711.txt: negative
movies-1-12712.txt: negative
movies-1-12715.txt: positive
movies-1-12717.txt: negative
movies-1-12725.txt: negative
movies-1-12730.txt: negative
movies-1-12740.txt: positive
movies-1-12741.txt: negative
movies-1-12743.txt: negative
movies-1-12744.txt: negative
movies-1-12746.txt: negative
movies-1-12747.txt: negative
movies-1-12748.txt: negative
movies-1-12753.txt: negative
movies-1-12754.txt: negative
movies-1-12755.txt: negative
movies-1-12756.txt: negative
movies-1-12757.txt: negative
movies-1-12761.txt: positive
movies-1-12765.txt: positive
movies-1-12767.txt: neutral
movies-1-12771.txt: negative
movies-1-12772.txt: negative
movies-1-12779.txt: negative
movies-1-12781.txt: negative
movies-1-12782.txt: negative
movies-1-12785.txt: negative
movies-1-12790.txt: negative
movies-1-12793.txt: negative
movies-1-12794.txt: positive
movies-1-12795.txt: negative
movies-1-12803.txt: negative
movies-1-12816.txt: neutral
movies-1-12838.txt: positive
movies-1-12840.txt: negative
movies-1-12844.txt: negative
movies-1-12845.txt: negative
movies-1-12846.txt: negative
movies-1-12848.txt: negative
movies-1-12850.txt: positive
movies-1-12852.txt: negative
movies-1-12853.txt: positive
movies-1-12854.txt: negative
movies-1-12855.txt: negative
movies-1-12856.txt: negative
movies-1-12870.txt: positive
movies-1-1289.txt: neutral
movies-1-12905.txt: negative
movies-1-1297.txt: negative
movies-1-13005.txt: negative
movies-1-13015.txt: negative
movies-1-13040.txt: positive
movies-1-1305.txt: neutral
movies-1-1306.txt: negative
movies-1-13070.txt: negative
movies-1-13075.txt: positive
movies-1-13076.txt: positive
movies-1-13089.txt: negative
movies-1-13092.txt: neutral
movies-1-13097.txt: negative
movies-1-131.txt: negative
movies-1-1310.txt: negative
movies-1-1312.txt: positive
movies-1-1315.txt: negative
movies-1-13156.txt: negative
movies-1-13275.txt: positive
movies-1-13281.txt: negative
movies-1-13283.txt: neutral
movies-1-13316.txt: neutral
movies-1-1332.txt: negative
movies-1-1335.txt: negative
movies-1-13350.txt: negative
movies-1-13354.txt: negative
movies-1-13373.txt: negative
movies-1-13380.txt: negative
movies-1-13387.txt: negative
movies-1-13397.txt: negative
movies-1-13405.txt: neutral
movies-1-13481.txt: negative
movies-1-13512.txt: negative
movies-1-13523.txt: negative
movies-1-13524.txt: negative
movies-1-13536.txt: negative
movies-1-13542.txt: negative
movies-1-13543.txt: negative
movies-1-13551.txt: negative
movies-1-13552.txt: negative
movies-1-13558.txt: negative
movies-1-13570.txt: negative
movies-1-13600.txt: negative
movies-1-13609.txt: negative
movies-1-13610.txt: negative
movies-1-13617.txt: negative
movies-1-13619.txt: negative
movies-1-13636.txt: neutral
movies-1-13642.txt: neutral
movies-1-13645.txt: negative
movies-1-13689.txt: neutral
movies-1-13744.txt: negative
movies-1-13748.txt: positive
movies-1-13752.txt: negative
movies-1-13758.txt: negative
movies-1-13761.txt: negative
movies-1-13787.txt: negative
movies-1-13827.txt: positive
movies-1-13836.txt: positive
movies-1-13933.txt: negative
movies-1-13935.txt: negative
movies-1-13936.txt: positive
movies-1-13939.txt: negative
movies-1-13960.txt: negative
movies-1-13976.txt: positive
movies-1-13979.txt: neutral
movies-1-13984.txt: negative
movies-1-13989.txt: negative
movies-1-13991.txt: negative
movies-1-14028.txt: negative
movies-1-14066.txt: negative
movies-1-14133.txt: negative
movies-1-1414.txt: positive
movies-1-14205.txt: negative
movies-1-14224.txt: negative
movies-1-14228.txt: negative
movies-1-14229.txt: negative
movies-1-14230.txt: positive
movies-1-14231.txt: positive
movies-1-14233.txt: positive
movies-1-14238.txt: positive
movies-1-14251.txt: negative
movies-1-14260.txt: negative
movies-1-14268.txt: negative
movies-1-14276.txt: positive
movies-1-14280.txt: negative
movies-1-14287.txt: negative
movies-1-1432.txt: neutral
movies-1-14331.txt: negative
movies-1-1437.txt: negative
movies-1-1438.txt: positive
movies-1-14394.txt: positive
movies-1-14405.txt: negative
movies-1-1441.txt: neutral
movies-1-14416.txt: negative
movies-1-1446.txt: negative
movies-1-14479.txt: negative
movies-1-14485.txt: negative
movies-1-14491.txt: negative
movies-1-14498.txt: negative
movies-1-14505.txt: negative
movies-1-14506.txt: negative
movies-1-14509.txt: negative
movies-1-1452.txt: negative
movies-1-14528.txt: negative
movies-1-14530.txt: negative
movies-1-14544.txt: negative
movies-1-14625.txt: negative
movies-1-14626.txt: negative
movies-1-14627.txt: negative
movies-1-14628.txt: negative
movies-1-1464.txt: negative
movies-1-14686.txt: negative
movies-1-14705.txt: negative
movies-1-1472.txt: negative
movies-1-14741.txt: negative
movies-1-14751.txt: negative
movies-1-14762.txt: negative
movies-1-14820.txt: negative
movies-1-14864.txt: positive
movies-1-14867.txt: negative
movies-1-1487.txt: positive
movies-1-14874.txt: negative
movies-1-14892.txt: positive
movies-1-14896.txt: negative
movies-1-14899.txt: negative
movies-1-14951.txt: negative
movies-1-14966.txt: negative
movies-1-14970.txt: negative
movies-1-15004.txt: negative
movies-1-15020.txt: negative
movies-1-1503.txt: negative
movies-1-15049.txt: negative
movies-1-15051.txt: negative
movies-1-15066.txt: negative
movies-1-15067.txt: negative
movies-1-15071.txt: negative
movies-1-15072.txt: negative
movies-1-15074.txt: negative
movies-1-15081.txt: negative
movies-1-15090.txt: positive
movies-1-15104.txt: negative
movies-1-15107.txt: neutral
movies-1-15110.txt: negative
movies-1-15116.txt: negative
movies-1-15120.txt: negative
movies-1-15132.txt: negative
movies-1-15152.txt: positive
movies-1-15154.txt: negative
movies-1-15157.txt: negative
movies-1-15159.txt: negative
movies-1-15162.txt: negative
movies-1-15193.txt: negative
movies-1-15202.txt: positive
movies-1-15255.txt: negative
movies-1-15271.txt: negative
movies-1-15285.txt: positive
movies-1-15330.txt: negative
movies-1-15367.txt: positive
movies-1-15378.txt: negative
movies-1-15382.txt: positive
movies-1-15402.txt: negative
movies-1-15438.txt: negative
movies-1-15441.txt: negative
movies-1-15461.txt: negative
movies-1-15465.txt: neutral
movies-1-15484.txt: negative
movies-1-15498.txt: negative
movies-1-15502.txt: negative
movies-1-15509.txt: negative
movies-1-15511.txt: negative
movies-1-15512.txt: negative
movies-1-15517.txt: negative
movies-1-15520.txt: negative
movies-1-15530.txt: negative
movies-1-15531.txt: negative
movies-1-15532.txt: positive
movies-1-15534.txt: negative
movies-1-15535.txt: negative
movies-1-15540.txt: negative
movies-1-15541.txt: negative
movies-1-15543.txt: negative
movies-1-15548.txt: negative
movies-1-15554.txt: negative
movies-1-15557.txt: negative
movies-1-15578.txt: negative
movies-1-15579.txt: negative
movies-1-15596.txt: negative
movies-1-15604.txt: negative
movies-1-15627.txt: negative
movies-1-15628.txt: negative
movies-1-15637.txt: negative
movies-1-15638.txt: negative
movies-1-15641.txt: negative
movies-1-15644.txt: negative
movies-1-15646.txt: negative
movies-1-15653.txt: neutral
movies-1-15686.txt: negative
movies-1-15708.txt: negative
movies-1-15744.txt: negative
movies-1-15770.txt: negative
movies-1-15786.txt: positive
movies-1-15795.txt: negative
movies-1-15804.txt: negative
movies-1-15815.txt: negative
movies-1-15820.txt: positive
movies-1-15825.txt: negative
movies-1-15839.txt: negative
movies-1-15849.txt: negative
movies-1-15853.txt: negative
movies-1-15861.txt: negative
movies-1-15880.txt: negative
movies-1-15881.txt: negative
movies-1-15883.txt: negative
movies-1-15904.txt: negative
movies-1-15910.txt: positive
movies-1-15918.txt: negative
movies-1-15921.txt: negative
movies-1-15923.txt: negative
movies-1-15933.txt: positive
movies-1-15938.txt: negative
movies-1-15943.txt: negative
movies-1-15947.txt: negative
movies-1-15956.txt: negative
movies-1-15960.txt: negative
movies-1-15963.txt: negative
movies-1-15968.txt: negative
movies-1-15986.txt: negative
movies-1-15989.txt: negative
movies-1-15991.txt: negative
movies-1-15998.txt: negative
movies-1-1600.txt: neutral
movies-1-16002.txt: negative
movies-1-16010.txt: negative
movies-1-16024.txt: negative
movies-1-1603.txt: negative
movies-1-1605.txt: positive
movies-1-16087.txt: positive
movies-1-16095.txt: negative
movies-1-16127.txt: negative
movies-1-16131.txt: negative
movies-1-16143.txt: negative
movies-1-16146.txt: negative
movies-1-16161.txt: negative
movies-1-16163.txt: positive
movies-1-16168.txt: negative
movies-1-16178.txt: negative
movies-1-16185.txt: negative
movies-1-16188.txt: neutral
movies-1-16190.txt: negative
movies-1-16191.txt: negative
movies-1-16192.txt: negative
movies-1-16199.txt: negative
movies-1-16209.txt: negative
movies-1-16213.txt: negative
movies-1-16222.txt: negative
movies-1-16233.txt: negative
movies-1-16249.txt: negative
movies-1-16252.txt: negative
movies-1-16263.txt: negative
movies-1-16269.txt: negative
movies-1-16277.txt: negative
movies-1-1628.txt: negative
movies-1-16282.txt: negative
movies-1-16289.txt: negative
movies-1-16307.txt: negative
movies-1-1632.txt: negative
movies-1-1633.txt: negative
movies-1-16334.txt: negative
movies-1-16338.txt: negative
movies-1-1634.txt: negative
movies-1-16341.txt: positive
movies-1-16343.txt: negative
movies-1-16346.txt: positive
movies-1-16347.txt: negative
movies-1-16349.txt: negative
movies-1-16350.txt: negative
movies-1-16352.txt: negative
movies-1-16353.txt: negative
movies-1-16355.txt: negative
movies-1-16358.txt: neutral
movies-1-16363.txt: positive
movies-1-16369.txt: negative
movies-1-16381.txt: negative
movies-1-16382.txt: negative
movies-1-16386.txt: negative
movies-1-16389.txt: negative
movies-1-16400.txt: negative
movies-1-16404.txt: negative
movies-1-16405.txt: negative
movies-1-16414.txt: positive
movies-1-16416.txt: negative
movies-1-16435.txt: positive
movies-1-16439.txt: negative
movies-1-1644.txt: positive
movies-1-16447.txt: negative
movies-1-16462.txt: negative
movies-1-16463.txt: negative
movies-1-16464.txt: negative
movies-1-16474.txt: negative
movies-1-16481.txt: negative
movies-1-16488.txt: negative
movies-1-16518.txt: negative
movies-1-16547.txt: negative
movies-1-16568.txt: negative
movies-1-16581.txt: negative
movies-1-16600.txt: negative
movies-1-16601.txt: negative
movies-1-16626.txt: negative
movies-1-16637.txt: positive
movies-1-16641.txt: negative
movies-1-16647.txt: negative
movies-1-16664.txt: negative
movies-1-16678.txt: negative
movies-1-16680.txt: negative
movies-1-16683.txt: negative
movies-1-16708.txt: negative
movies-1-16712.txt: positive
movies-1-16714.txt: negative
movies-1-16717.txt: negative
movies-1-16726.txt: negative
movies-1-16727.txt: negative
movies-1-16741.txt: negative
movies-1-16746.txt: negative
movies-1-1675.txt: negative
movies-1-16767.txt: positive
movies-1-16768.txt: negative
movies-1-16769.txt: negative
movies-1-16773.txt: negative
movies-1-1678.txt: negative
movies-1-16789.txt: negative
movies-1-16790.txt: negative
movies-1-168.txt: negative
movies-1-16801.txt: negative
movies-1-16808.txt: negative
movies-1-16819.txt: negative
movies-1-16821.txt: negative
movies-1-16834.txt: negative
movies-1-16840.txt: positive
movies-1-16843.txt: neutral
movies-1-16845.txt: negative
movies-1-1685.txt: negative
movies-1-16865.txt: negative
movies-1-1687.txt: negative
movies-1-16871.txt: negative
movies-1-16873.txt: negative
movies-1-16882.txt: negative
movies-1-16885.txt: positive
movies-1-16890.txt: negative
movies-1-16892.txt: negative
movies-1-16906.txt: negative
movies-1-16908.txt: negative
movies-1-16911.txt: negative
movies-1-16924.txt: negative
movies-1-16929.txt: negative
movies-1-16935.txt: negative
movies-1-16937.txt: negative
movies-1-16951.txt: negative
movies-1-16955.txt: negative
movies-1-16956.txt: negative
movies-1-16961.txt: negative
movies-1-16962.txt: negative
movies-1-16967.txt: negative
movies-1-16973.txt: negative
movies-1-16982.txt: negative
movies-1-16986.txt: negative
movies-1-16990.txt: negative
movies-1-16991.txt: negative
movies-1-16993.txt: negative
movies-1-16996.txt: negative
movies-1-16997.txt: negative
movies-1-16998.txt: negative
movies-1-170.txt: neutral
movies-1-17000.txt: negative
movies-1-17003.txt: negative
movies-1-1701.txt: positive
movies-1-17010.txt: positive
movies-1-17011.txt: negative
movies-1-17012.txt: negative
movies-1-17018.txt: negative
movies-1-17023.txt: negative
movies-1-17024.txt: negative
movies-1-17030.txt: negative
movies-1-17034.txt: negative
movies-1-17035.txt: negative
movies-1-17045.txt: negative
movies-1-17051.txt: negative
movies-1-17055.txt: negative
movies-1-17057.txt: negative
movies-1-17060.txt: negative
movies-1-17072.txt: negative
movies-1-17083.txt: negative
movies-1-17084.txt: negative
movies-1-17086.txt: negative
movies-1-17088.txt: negative
movies-1-17093.txt: negative
movies-1-17108.txt: positive
movies-1-17111.txt: negative
movies-1-17113.txt: negative
movies-1-17117.txt: negative
movies-1-17119.txt: negative
movies-1-17120.txt: negative
movies-1-17124.txt: negative
movies-1-17136.txt: negative
movies-1-17138.txt: negative
movies-1-17143.txt: negative
movies-1-17144.txt: negative
movies-1-17147.txt: negative
movies-1-17151.txt: negative
movies-1-17152.txt: negative
movies-1-17171.txt: negative
movies-1-17185.txt: negative
movies-1-17187.txt: positive
movies-1-17191.txt: negative
movies-1-17194.txt: negative
movies-1-17195.txt: negative
movies-1-17198.txt: positive
movies-1-17200.txt: negative
movies-1-17202.txt: negative
movies-1-17203.txt: negative
movies-1-17207.txt: negative
movies-1-17209.txt: negative
movies-1-17210.txt: negative
movies-1-17211.txt: negative
movies-1-17217.txt: negative
movies-1-17219.txt: negative
movies-1-17220.txt: negative
movies-1-17221.txt: negative
movies-1-17223.txt: negative
movies-1-17224.txt: positive
movies-1-17229.txt: positive
movies-1-17230.txt: positive
movies-1-17231.txt: negative
movies-1-17232.txt: negative
movies-1-17234.txt: positive
movies-1-17235.txt: negative
movies-1-17236.txt: positive
movies-1-17238.txt: negative
movies-1-17239.txt: negative
movies-1-17240.txt: negative
movies-1-17241.txt: positive
movies-1-17242.txt: negative
movies-1-17244.txt: negative
movies-1-17245.txt: positive
movies-1-17246.txt: negative
